followers,following,likes,comments,video_view_count,caption_length,hashtag_count,media_type,posts_count,views_per_like,views_per_comment,views_per_follower,views_per_hashtag
248,1176,67,5,172,714,15,1.0,11,2.57,34.4,0.69,11.47
165,243,21,2,48,250,12,0.0,17,2.29,24.0,0.29,4.0
813,2043,22,2,120,111,0,0.0,40,5.45,60.0,0.15,
288,85,11,1,172,0,0,1.0,72,15.64,172.0,0.6,
56397,107,3151,92,172,303,15,1.0,106,0.05,1.87,0.0,11.47
137,805,6,1,172,93,0,1.0,46,28.67,172.0,1.26,
298,280,7,0,172,46,5,1.0,152,24.57,,0.58,34.4
325,468,5,0,172,601,30,1.0,166,34.4,,0.53,5.73
1021,3161,67,2,172,0,0,1.0,41,2.57,86.0,0.17,
726,260,28,18,254,934,0,0.0,415,9.07,14.11,0.35,
625,421,3,0,26,498,10,0.0,1272,8.67,,0.04,2.6
1002,547,20,3,172,26,0,1.0,25,8.6,57.33,0.17,
1934,1276,52,3,172,200,15,1.0,128,3.31,57.33,0.09,11.47
184,675,3,0,172,66,1,1.0,25,57.33,,0.93,172.0
17349,30,134,1,172,545,30,1.0,184,1.28,172.0,0.01,5.73
486,1,21,0,172,223,8,1.0,92,8.19,,0.35,21.5
8928,2103,363,5,5798,236,9,0.0,62,15.97,1159.6,0.65,644.22
177,190,6,0,172,510,27,1.0,54,28.67,,0.97,6.37
280,458,59,6,172,1845,20,1.0,46,2.92,28.67,0.61,8.6
1334,844,32,1,172,185,14,0.0,75,5.38,172.0,0.13,12.29
599,136,132,2,59,215,18,0.0,100,0.45,29.5,0.1,3.28
228,699,20,1,91,824,15,0.0,28,4.55,91.0,0.4,6.07
872,357,13,3,172,425,23,1.0,151,13.23,57.33,0.2,7.48
5358,518,227,8,172,1453,30,1.0,71,0.76,21.5,0.03,5.73
2513,455,134,8,172,144,0,1.0,294,1.28,21.5,0.07,
187,85,8,0,172,398,25,1.0,60,21.5,,0.92,6.88
102,138,68,6,172,410,26,1.0,36,2.53,28.67,1.69,6.62
1012,296,10,0,172,637,6,1.0,210,17.2,,0.17,28.67
346,394,32,5,77,70,0,0.0,23,2.41,15.4,0.22,
1272,1377,31,2,172,489,30,1.0,68,5.55,86.0,0.14,5.73
15107,521,38,0,639,145,10,0.0,39,16.82,,0.04,63.9
115,883,14,3,172,127,10,1.0,24,12.29,57.33,1.5,17.2
1022,471,22,0,172,151,2,1.0,18,7.82,,0.17,86.0
1934,1276,112,6,172,209,9,1.0,128,1.54,28.67,0.09,19.11
960,786,88,1,172,35,3,1.0,86,1.95,172.0,0.18,57.33
121,110,25,0,172,0,0,1.0,52,6.88,,1.42,
339,808,32,2,172,509,28,1.0,124,5.38,86.0,0.51,6.14
1177,584,22,0,172,391,29,1.0,448,7.82,,0.15,5.93
343,289,12,0,172,228,6,1.0,131,14.33,,0.5,28.67
440,421,45,1,172,10,0,1.0,12,3.82,172.0,0.39,
2779,57,46,0,172,428,28,1.0,153,3.74,,0.06,6.14
445,540,31,6,172,1093,30,1.0,50,5.55,28.67,0.39,5.73
898,1110,23,0,172,138,12,1.0,70,7.48,,0.19,14.33
504,410,162,16,172,818,29,1.0,48,1.06,10.75,0.34,5.93
230,280,15,2,172,212,2,1.0,76,11.47,86.0,0.75,86.0
6086,1877,10,0,172,581,26,1.0,705,17.2,,0.03,6.62
1523,546,27,6,134,80,7,0.0,90,4.96,22.33,0.09,19.14
397,2217,11,2,172,124,7,1.0,443,15.64,86.0,0.43,24.57
4973,609,306,0,172,860,30,1.0,140,0.56,,0.03,5.73
425,6370,1,0,172,0,0,1.0,15,172.0,,0.4,
439,878,102,12,172,334,0,1.0,44,1.69,14.33,0.39,
3947,6055,18,2,172,507,19,1.0,141,9.56,86.0,0.04,9.05
3626,875,30,2,172,116,1,1.0,34,5.73,86.0,0.05,172.0
837,96,13,0,172,474,25,1.0,56,13.23,,0.21,6.88
113,156,10,0,172,448,30,1.0,69,17.2,,1.52,5.73
107,706,11,0,172,51,6,1.0,21,15.64,,1.61,28.67
347,1761,18,4,172,187,10,1.0,52,9.56,43.0,0.5,17.2
103,119,31,0,172,605,30,1.0,11,5.55,,1.67,5.73
1765,7502,30,0,172,169,3,1.0,40,5.73,,0.1,57.33
528,563,124,2,172,343,14,1.0,139,1.39,86.0,0.33,12.29
1208,551,24,0,172,349,15,1.0,120,7.17,,0.14,11.47
397,2217,10,2,172,105,2,1.0,443,17.2,86.0,0.43,86.0
132,36,12,1,29,317,12,0.0,113,2.42,29.0,0.22,2.42
930,236,24,0,172,35,0,1.0,100,7.17,,0.18,
371,533,42,7,172,410,30,1.0,84,4.1,24.57,0.46,5.73
201,338,6,0,172,14,1,1.0,108,28.67,,0.86,172.0
139,393,32,3,172,204,7,1.0,31,5.38,57.33,1.24,24.57
242,972,387,0,172,65,0,1.0,18,0.44,,0.71,
632,2837,30,0,172,574,30,1.0,128,5.73,,0.27,5.73
5731,690,169,20,172,1385,30,1.0,146,1.02,8.6,0.03,5.73
417,132,41,4,172,564,10,1.0,36,4.2,43.0,0.41,17.2
363,387,10,4,172,2215,17,1.0,49,17.2,43.0,0.47,10.12
55543,391,393,32,172,671,27,1.0,42,0.44,5.38,0.0,6.37
154,466,63,3,119,1208,11,0.0,91,1.89,39.67,0.77,10.82
440,421,131,12,172,22,0,1.0,12,1.31,14.33,0.39,
107,390,12,1,172,0,0,1.0,4,14.33,172.0,1.61,
1168,571,283,1,172,507,18,1.0,58,0.61,172.0,0.15,9.56
223,0,9,2,172,615,30,1.0,255,19.11,86.0,0.77,5.73
344,677,32,0,22,365,9,0.0,39,0.69,,0.06,2.44
407,11,21,1,172,130,4,1.0,48,8.19,172.0,0.42,43.0
64250,909,771,13,172,670,0,1.0,1011,0.22,13.23,0.0,
748,15,6,0,124,890,30,0.0,417,20.67,,0.17,4.13
1113,6675,77,5,172,391,19,1.0,56,2.23,34.4,0.15,9.05
10285,2925,39,3,172,240,8,1.0,415,4.41,57.33,0.02,21.5
184,215,23,1,172,572,30,1.0,258,7.48,172.0,0.93,5.73
12989,26,112,2,172,139,4,1.0,446,1.54,86.0,0.01,43.0
893,470,229,11,172,511,23,1.0,20,0.75,15.64,0.19,7.48
806,563,80,3,172,277,27,1.0,139,2.15,57.33,0.21,6.37
24267,180,537,14,172,568,8,1.0,682,0.32,12.29,0.01,21.5
195,66,26,0,172,978,13,1.0,31,6.62,,0.88,13.23
101,113,20,0,172,481,30,1.0,29,8.6,,1.7,5.73
1022,471,31,1,172,162,8,1.0,18,5.55,172.0,0.17,21.5
284,651,7,0,172,273,24,1.0,348,24.57,,0.61,7.17
235,1046,26,0,172,479,29,1.0,29,6.62,,0.73,5.93
128,226,33,1,172,73,3,1.0,172,5.21,172.0,1.34,57.33
1426,280,187,11,172,1062,26,1.0,35,0.92,15.64,0.12,6.62
2249,4205,268,3,172,566,30,1.0,30,0.64,57.33,0.08,5.73
17219,5,274,0,172,368,30,1.0,165,0.63,,0.01,5.73
740,838,95,2,172,102,2,1.0,226,1.81,86.0,0.23,86.0
1659,1557,32,2,172,107,0,1.0,90,5.38,86.0,0.1,
516,444,19,0,172,443,27,1.0,160,9.05,,0.33,6.37
971,132,79,4,454,1026,23,0.0,23,5.75,113.5,0.47,19.74
117,46,10,0,172,582,26,1.0,78,17.2,,1.47,6.62
170,383,6,0,172,70,6,1.0,819,28.67,,1.01,28.67
3947,6055,32,1,172,289,12,1.0,141,5.38,172.0,0.04,14.33
376,506,27,1,416,79,6,0.0,104,15.41,416.0,1.11,69.33
1207,568,24,0,172,323,5,1.0,82,7.17,,0.14,34.4
186,161,70,0,172,4,0,1.0,4,2.46,,0.92,
408,683,7,0,172,0,0,1.0,72,24.57,,0.42,
188,383,46,4,172,91,0,1.0,11,3.74,43.0,0.91,
621,705,299,19,172,17,0,1.0,25,0.58,9.05,0.28,
1197,14,2,0,172,162,6,1.0,77,86.0,,0.14,28.67
13312,506,48,0,172,1301,17,1.0,279,3.58,,0.01,10.12
528,1935,21,1,172,343,3,1.0,50,8.19,172.0,0.33,57.33
2227,306,27,8,172,414,27,1.0,496,6.37,21.5,0.08,6.37
1937,502,131,38,172,2001,22,1.0,20,1.31,4.53,0.09,7.82
721,438,0,0,172,97,7,1.0,383,,,0.24,24.57
3092,26,146,6,172,1070,30,1.0,73,1.18,28.67,0.06,5.73
182,1350,20,0,172,117,11,1.0,77,8.6,,0.95,15.64
116,756,14,0,172,549,30,1.0,13,12.29,,1.48,5.73
125,120,17,2,172,236,5,1.0,17,10.12,86.0,1.38,34.4
198,26,16,1,172,911,18,1.0,28,10.75,172.0,0.87,9.56
119,155,6,0,172,345,13,1.0,30,28.67,,1.45,13.23
1694,4191,131,3,251,29,3,0.0,19,1.92,83.67,0.15,83.67
417,1802,78,4,172,88,5,1.0,16,2.21,43.0,0.41,34.4
251,254,48,9,172,657,23,1.0,21,3.58,19.11,0.69,7.48
332,2527,4,0,172,265,9,1.0,167,43.0,,0.52,19.11
657,410,92,1,172,398,2,1.0,96,1.87,172.0,0.26,86.0
417,1802,108,5,172,219,3,1.0,16,1.59,34.4,0.41,57.33
831,305,59,5,172,588,30,1.0,18,2.92,34.4,0.21,5.73
14651,7288,68,3,172,1336,30,1.0,705,2.53,57.33,0.01,5.73
376,875,34,0,173,222,5,0.0,218,5.09,,0.46,34.6
1178,112,100,1,172,501,28,1.0,25,1.72,172.0,0.15,6.14
6086,1877,15,2,130,388,23,0.0,705,8.67,65.0,0.02,5.65
2301,109,121,15,172,696,30,1.0,64,1.42,11.47,0.07,5.73
318,657,3,0,23,12,0,0.0,26,7.67,,0.07,
2246,3651,108,0,172,262,14,1.0,189,1.59,,0.08,12.29
376,875,84,1,172,125,0,1.0,218,2.05,172.0,0.46,
1439,309,89,0,172,421,25,1.0,314,1.93,,0.12,6.88
599,74,17,0,172,843,28,1.0,169,10.12,,0.29,6.14
682,639,41,0,182,368,33,0.0,53,4.44,,0.27,5.52
166,229,0,0,172,0,0,1.0,91,,,1.04,
288,85,12,0,172,1770,12,1.0,72,14.33,,0.6,14.33
1447,3615,120,5,172,522,31,1.0,78,1.43,34.4,0.12,5.55
1164,1402,136,58,172,891,30,1.0,104,1.26,2.97,0.15,5.73
903,3118,45,4,172,343,0,1.0,135,3.82,43.0,0.19,
795,89,15,4,172,1329,17,1.0,3,11.47,43.0,0.22,10.12
239,174,33,0,333,150,5,0.0,22,10.09,,1.39,66.6
1195,1074,36,5,172,474,27,1.0,105,4.78,34.4,0.14,6.37
806,419,58,0,172,359,20,1.0,215,2.97,,0.21,8.6
5116,306,74,4,1182,1934,25,0.0,827,15.97,295.5,0.23,47.28
765,874,32,1,172,62,14,0.0,58,5.38,172.0,0.22,12.29
336,3124,6,0,172,551,29,1.0,95,28.67,,0.51,5.93
1864,5818,7,0,172,128,11,1.0,189,24.57,,0.09,15.64
801,225,35,3,153,248,6,0.0,22,4.37,51.0,0.19,25.5
680,1273,153,5,172,595,23,1.0,17,1.12,34.4,0.25,7.48
299,896,57,2,172,269,4,1.0,138,3.02,86.0,0.58,43.0
474,2093,16,1,172,398,9,1.0,238,10.75,172.0,0.36,19.11
119,118,7,0,172,220,18,1.0,104,24.57,,1.45,9.56
