followers,following,likes,comments,video_view_count,caption_length,hashtag_count,media_type,posts_count,category_name,post_hour,post_day_of_week
371,2021,22,0,0,349,6,image,55,Unknown,18,4
205,658,1,0,0,667,21,image,165,Other,5,0
205,658,0,0,0,627,18,image,165,Other,6,1
205,658,4,0,0,761,23,image,165,Other,5,1
205,658,2,0,0,680,18,image,165,Other,5,4
205,658,5,0,0,757,20,image,165,Other,5,2
205,658,3,0,0,614,19,image,165,Other,5,0
205,658,3,0,0,463,19,image,165,Other,6,6
205,658,3,0,0,718,20,image,165,Other,11,4
205,658,4,0,0,681,21,image,165,Other,5,3
205,658,3,0,0,542,27,image,165,Other,4,6
205,658,2,0,0,644,21,image,165,Other,5,1
205,658,1,0,0,766,18,image,165,Other,4,2
1096,331,7,0,0,484,30,image,669,Other,12,6
1096,331,25,unknown,326,858,30,Img,669,Other,7,1
1096,331,12,0,0,333,30,image,669,Other,8,6
1096,331,24,2,0,330,30,image,669,Other,7,6
1096,331,17,0,0,333,27,image,669,Other,7,6
1096,331,26,0,0,330,30,image,669,Other,7,6
1096,331,5,0,0,333,30,image,669,Other,16,2
1096,331,12,0,0,433,29,image,669,Other,16,2
1096,331,12,1,63,461,27,video,669,Other,19,6
1096,331,13,0,0,372,30,image,669,Other,14,3
1096,331,14,1,0,373,30,image,669,Other,13,3
1096,331,11,0,80,487,26,video,669,Other,9,1
34866,0,13,0,0,309,23,image,2585,Unknown,11,6
34866,0,45,unknown,0,287,24,Img,2585,Tech,6,6
34866,0,53,6,0,284,24,image,2585,Unknown,3,6
34866,0,32,1,0,306,23,image,2585,Unknown,23,5
34866,0,57,4,0,309,23,image,2585,Unknown,18,5
34866,0,96,4,0,287,24,image,2585,Unknown,15,5
34866,0,65,12,0,324,23,image,2585,Unknown,11,5
34866,0,30,2,0,163,11,image,2585,Unknown,7,5
34866,0,71,1,0,332,23,image,2585,Unknown,6,4
34866,0,29,0,0,317,23,image,2585,Unknown,3,4
34866,0,71,4,0,275,24,image,2585,Unknown,23,3
34866,0,74,3,0,281,24,image,2585,Unknown,18,3
198,36,8,0,0,683,29,image,88,Other,4,4
198,36,4,1,0,899,26,image,88,Other,7,3
198,36,10,1,0,854,29,image,88,Other,4,2
