followers,following,likes,video_view_count,caption_length,hashtag_count,media_type,posts_count,post_hour,post_day_of_week,views_per_follower,views_per_hashtag,like_rate,virality_score,target
249,230,4,26,535,30,1.0,613,13,1,0.1,0.87,0.01606425702811245,0.06752942416479558,0
249,230,3,19,1359,30,1.0,613,11,1,0.08,0.63,0.012048192771084338,0.054216343604833905,0
528,230,9,57,647,14,1.0,613,10,1,0.11,4.07,0.017045454545454544,0.07374964374166892,0
249,230,4,26,598,30,1.0,613,12,4,0.1,0.87,0.01606425702811245,0.06752942416479558,0
249,230,8,51,1248,30,1.0,613,10,4,0.2,1.7,0.0321285140562249,0.1295771278667498,0
249,230,16,102,667,30,1.0,613,8,4,0.41,3.4,0.0642570281124498,0.2451302331860801,0
46752,70,70,965,265,14,0.0,1465,11,6,0.02,68.93,0.0014972621492128678,0.013395357571959868,0
46752,70,132,842,468,14,1.0,1465,14,5,0.02,60.14,0.0028234086242299797,0.013858508344942516,0
46752,70,89,568,186,9,1.0,1465,13,4,0.01,63.11,0.0019036618754277891,0.007133363327170179,0
46752,70,726,4632,432,14,1.0,1465,19,2,0.1,330.86,0.015528747433264887,0.06734491047319897,0
46752,70,38,629,153,8,0.0,1465,0,0,0.01,78.62,0.0008127994524298426,0.006752079313001834,0
46752,70,557,3554,415,14,1.0,1465,12,6,0.08,253.86,0.011913928815879535,0.05416990757335939,0
46752,70,34,538,119,7,0.0,1465,20,4,0.01,76.86,0.0007272416153319644,0.006722157110709522,0
46752,70,30,611,140,8,0.0,1465,13,4,0.01,76.38,0.0006416837782340862,0.006692232350089377,0
46752,70,45,287,606,11,1.0,1465,12,3,0.01,26.09,0.0009625256673511293,0.006804437012352575,0
46752,70,142,1561,290,14,0.0,1465,13,1,0.03,111.5,0.003037303216974675,0.020274666432593125,0
46752,70,763,4868,477,14,1.0,1465,16,6,0.1,347.71,0.01632015742642026,0.06761756215605752,0
46752,70,144,919,232,11,1.0,1465,13,5,0.02,83.55,0.003080082135523614,0.013948079682603488,0
632,27,14,89,432,29,1.0,87,16,0,0.14,3.07,0.022151898734177215,0.09283690893667323,0
632,27,14,89,509,30,1.0,87,15,6,0.14,2.97,0.022151898734177215,0.09283690893667323,0
632,27,8,51,561,30,1.0,87,16,5,0.08,1.7,0.012658227848101266,0.05442725051088445,0
632,27,7,45,430,30,1.0,87,16,4,0.07,1.5,0.011075949367088608,0.04783339258871671,0
632,27,14,89,547,30,1.0,87,16,3,0.14,2.97,0.022151898734177215,0.09283690893667323,0
632,27,12,77,433,30,1.0,87,16,2,0.12,2.57,0.0189873417721519,0.08024691163467573,0
632,27,10,64,615,30,1.0,87,16,1,0.1,2.13,0.015822784810126583,0.06744623521289747,0
632,27,9,57,468,30,1.0,87,16,0,0.09,1.9,0.014240506329113924,0.06096452452751843,0
632,27,8,51,449,30,1.0,87,16,6,0.08,1.7,0.012658227848101266,0.05442725051088445,0
632,27,10,64,480,29,1.0,87,15,5,0.1,2.21,0.015822784810126583,0.06744623521289747,0
632,27,11,70,595,29,1.0,87,16,4,0.11,2.41,0.01740506329113924,0.0738733754925245,0
632,27,14,89,467,28,1.0,87,16,3,0.14,3.18,0.022151898734177215,0.09283690893667323,0
273,665,13,83,680,17,1.0,71,12,2,0.3,4.88,0.047619047619047616,0.1868187773760817,0
273,665,13,83,454,17,1.0,71,12,4,0.3,4.88,0.047619047619047616,0.1868187773760817,0
273,665,22,140,639,12,1.0,71,13,3,0.51,11.67,0.08058608058608059,0.2949975194416425,0
273,665,15,68,251,18,0.0,71,6,6,0.25,3.78,0.054945054945054944,0.1637643480870815,0
273,665,16,102,1339,30,1.0,71,12,2,0.37,3.4,0.05860805860805861,0.22456119342063718,0
273,665,16,102,437,30,1.0,71,13,0,0.37,3.4,0.05860805860805861,0.22456119342063718,0
273,665,22,140,1892,31,1.0,71,12,6,0.51,4.52,0.08058608058608059,0.2949975194416425,0
273,665,13,83,125,6,1.0,71,13,4,0.3,13.83,0.047619047619047616,0.1868187773760817,0
273,665,22,140,1090,26,1.0,71,5,2,0.51,5.38,0.08058608058608059,0.2949975194416425,0
273,665,10,32,211,15,0.0,71,6,0,0.12,2.13,0.03663003663003663,0.08625493130994932,0
273,665,78,1132,35,0,0.0,71,4,2,4.15,0.0,0.2857142857142857,1.1533079144374863,1
273,665,11,70,447,10,1.0,71,6,0,0.26,7.0,0.040293040293040296,0.16404847366788752,0
371,2021,11,70,595,25,1.0,55,18,6,0.19,2.8,0.029649595687331536,0.12329614072993372,0
371,2021,10,64,506,24,1.0,55,18,4,0.17,2.67,0.026954177897574125,0.11136149610802512,0
371,2021,26,166,261,13,1.0,55,7,5,0.45,12.77,0.07008086253369272,0.26522328800902834,0
371,2021,13,83,55,2,1.0,55,16,3,0.22,41.5,0.03504043126684636,0.14130722967745948,0
371,2021,13,83,46,0,1.0,55,10,4,0.22,0.0,0.03504043126684636,0.14130722967745948,0
371,2021,20,109,37,1,0.0,55,16,4,0.29,109.0,0.05390835579514825,0.18389436602510323,0
371,2021,20,128,32,1,1.0,55,17,2,0.35,128.0,0.05390835579514825,0.21344490917499548,0
371,2021,26,166,47,1,1.0,55,20,4,0.45,166.0,0.07008086253369272,0.26522328800902834,0
371,2021,22,140,60,2,1.0,55,19,4,0.38,70.0,0.05929919137466307,0.2295169167015628,0
371,2021,21,134,132,3,1.0,55,19,3,0.36,44.67,0.05660377358490566,0.21913597685023398,0
371,2021,30,191,175,6,1.0,55,16,2,0.51,31.83,0.08086253369272237,0.29508705068213836,0
371,2021,22,140,349,6,1.0,55,18,4,0.38,23.33,0.05929919137466307,0.2295169167015628,0
205,658,1,6,667,21,1.0,165,5,0,0.03,0.29,0.004878048780487805,0.020916387834914375,0
